ID,Category,Synomyms,Related synonyms,Name,ExactSynonym and label identical,description jaccard diff,Legacy Description,description details comment,Claude opus Aristotelian definition,Curated Claude opus Aristotelian definition,Reference (DOI),Layers comment,layer parts,Parent
AIO:PersonalizedLLM,AIO:ModelSubset,Personalized Large Language Model,user adaptation LLM,Personalized LLM,FALSE,0.38,"A personalized LLM adapts its language modeling and generation to the preferences, style, and persona of individual users or audiences.",,A large language model that adapts its language modeling and generation to the preferences style and persona of individual users or audiences.,A large language model that adapts its language modeling and generation to the preferences style and persona of individual users or audiences.,,,,AIO:LargeLanguageModel
AIO:ControllableLLM,AIO:ModelSubset,Controllable Large Language Model,conditional generation|guided generation,Controllable LLM,FALSE,0.43,"A controllable LLM allows for explicit control over certain attributes of the generated text, such as style, tone, topic, or other desired characteristics, through conditioning or specialized training objectives.","A controllable LLM allows for explicit control over certain attributes of the generated text, such as style, tone, topic, or other desired characteristics, through conditioning or specialized training objectives.",A large language model that allows for explicit control over certain attributes of the generated text such as style tone topic or other desired characteristics through conditioning or specialized training objectives.,A large language model that allows for explicit control over certain attributes of the generated text such as style tone topic or other desired characteristics through conditioning or specialized training objectives.,,,,AIO:LargeLanguageModel
AIO:EvolutionaryLLM,AIO:ModelSubset,Evolutionary Language Model,evolutionary algorithms|genetic programming,Evolutionary LLM,FALSE,0.38,"An evolutionary LLM applies principles of evolutionary computation to optimize its structure and parameters, evolving over time to improve performance.",,A large language model that applies principles of evolutionary computation to optimize its structure and parameters evolving over time to improve performance.,A large language model that applies principles of evolutionary computation to optimize its structure and parameters evolving over time to improve performance.,,,,AIO:LargeLanguageModel
AIO:ContinualLearningLLM,AIO:ModelSubset,CL-Large Language Model|Continual Learning Large Language Model,lifelong learning|catastrophic forgetting,Continual Learning LLM,FALSE,0.31,A continual learning LLM continually acquires new knowledge and skills over time without forgetting previously learned information. This allows the model to adapt and expand its capabilities as new data becomes available.,,A large language model that continually acquires new knowledge and skills over time without forgetting previously learned information allowing the model to adapt and expand its capabilities as new data becomes available.,A large language model that continually acquires new knowledge and skills over time without forgetting previously learned information allowing the model to adapt and expand its capabilities as new data becomes available.,,,,AIO:LargeLanguageModel
AIO:LifelongLearningLLM,AIO:ModelSubset,Continual Learning LLM|Forever Learning,Catastrophic forgetting|Plasticity-Stability balance,Lifelong Learning LLM,FALSE,0.33,"A lifelong learning LLM continually acquires new knowledge over time without forgetting previously learned information, maintaining a balance between plasticity and stability.",,A large language model that continually acquires new knowledge over time without forgetting previously learned information maintaining a balance between plasticity and stability.,A large language model that continually acquires new knowledge over time without forgetting previously learned information maintaining a balance between plasticity and stability.,,,,AIO:LargeLanguageModel
AIO:FactorizedLLM,AIO:ModelSubset,Factorized Large Language Model|Factorized Learning Assisted with Large Language Model,Conditional masking|Product of experts,Factorized LLM,FALSE,0.21,"A factorized LLM decomposes the full language modeling task into multiple sub-components or experts that each focus on a subset of the information, enabling more efficient scaling.",,A large language model that decomposes the full language modeling task into multiple sub-components or experts that each focus on a subset of the information enabling more efficient scaling.,A large language model that decomposes the full language modeling task into multiple sub-components or experts that each focus on a subset of the information enabling more efficient scaling.,https://doi.org/10.48550/arXiv.2403.12556,,,AIO:LargeLanguageModel
AIO:DatatoTextLLM,AIO:ModelSubset,Meaning representation,,Data-to-Text LLM,FALSE,#N/A,,,"A LLM that generates natural language descriptions from structured data sources like tables, graphs, and knowledge bases, requiring grounding in meaning representations.","A large language model that generates natural language descriptions from structured data sources like tables, graphs, and knowledge bases, requiring grounding in meaning representations.",,,,AIO:LargeLanguageModel
AIO:DifferentiableLLM,AIO:ModelSubset,Differentiable Large Language Model,end-to-end training|fully backpropagable,Differentiable LLM,FALSE,0.31,"A differentiable LLM has an architecture amenable to full end-to-end training via backpropagation, without relying on teacher forcing or unlikelihood training objectives.",,A large language model that has an architecture amenable to full end-to-end training via backpropagation without relying on teacher forcing or unlikelihood training objectives.,A large language model that has an architecture amenable to full end-to-end training via backpropagation without relying on teacher forcing or unlikelihood training objectives.,,,,AIO:LargeLanguageModel
AIO:ReasoningLLM,AIO:ModelSubset,Reasoning Large Language Model|Rational Large Language Model,reasoning|logical inferences,Reasoning LLM,FALSE,0.38,"A reasoning LLM incorporates explicit reasoning capabilities, leveraging logical rules, axioms, or external knowledge to make deductive inferences during language tasks.",,A large language model that incorporates explicit reasoning capabilities leveraging logical rules axioms or external knowledge to make deductive inferences during language tasks.,A large language model that incorporates explicit reasoning capabilities leveraging logical rules axioms or external knowledge to make deductive inferences during language tasks.,https://doi.org/10.18653/v1/2023.acl-long.347,,,AIO:LargeLanguageModel
AIO:EmbodiedLLM,AIO:ModelSubset,Embodied Large Language Model,multimodal grounding,Embodied LLM,FALSE,0.42,"An embodied LLM integrates language with other modalities like vision, audio, and robotics to enable grounded language understanding in real-world environments.","An embodied LLM integrates language with other modalities like vision, audio, and robotics to enable grounded language understanding in real-world environments.",A large language model that integrates language with other modalities like vision audio and robotics to enable grounded language understanding in real-world environments.,A large language model that integrates language with other modalities like vision audio and robotics to enable grounded language understanding in real-world environments.,,,,AIO:LargeLanguageModel
AIO:ExplainableLLM,AIO:ModelSubset,Explainable Language Model|XAI LLM,interpretability|model understanding,Explainable LLM,FALSE,0.39,"An explainable LLM is designed to provide insights into its decision-making process, making it easier for users to understand and trust the model's outputs. It incorporates mechanisms for interpreting and explaining its predictions in human-understandable terms.",,A large language model that is designed to provide insights into its decision-making process making it easier for users to understand and trust the model's outputs by incorporating mechanisms for interpreting and explaining its predictions in human-understandable terms.,A large language model that is designed to provide insights into its decision-making process making it easier for users to understand and trust the model's outputs by incorporating mechanisms for interpreting and explaining its predictions in human-understandable terms.,,,,AIO:LargeLanguageModel
AIO:ReinforcementLearningLLM,AIO:ModelSubset,RL-Large Language Model|Reinforcement Learning Large Language Model,reward modeling|decision transformers,Reinforcement Learning LLM,FALSE,0.43,"An RL-LLM is a language model fine-tuned using reinforcement learning, where the model receives rewards for generating text that satisfies certain desired properties or objectives. This can improve the quality, safety, or alignment of generated text.","An RL-LLM is a language model fine-tuned using reinforcement learning, where the model receives rewards for generating text that satisfies certain desired properties or objectives. This can improve the quality, safety, or alignment of generated text.",A large language model that is fine-tuned using reinforcement learning where the model receives rewards for generating text that satisfies certain desired properties or objectives improving the quality safety or alignment of generated text.,A large language model that is fine-tuned using reinforcement learning where the model receives rewards for generating text that satisfies certain desired properties or objectives improving the quality safety or alignment of generated text.,,,,AIO:LargeLanguageModel
AIO:DialogueLLM,AIO:ModelSubset,Dialogue Large Language Model,conversational AI|multi-turn dialogue,Dialogue LLM,FALSE,0.39,"A dialogue LLM is optimized for engaging in multi-turn conversations, understanding context, and generating relevant, coherent responses continuously over many dialogue turns.",,A large language model that is optimized for engaging in multi-turn conversations understanding context and generating relevant coherent responses continuously over many dialogue turns.,A large language model that is optimized for engaging in multi-turn conversations understanding context and generating relevant coherent responses continuously over many dialogue turns.,,,,AIO:LargeLanguageModel
AIO:CurriculumLearningLLM,AIO:ModelSubset,,Learning progression,Curriculum Learning LLM,FALSE,0.30,"A curriculum learning LLM is trained by presenting learning examples in a meaningful order from simple to complex, mimicking the learning trajectory followed by humans.",,A large language model that is trained by presenting learning examples in a meaningful order from simple to complex mimicking the learning trajectory followed by humans.,A large language model that is trained by presenting learning examples in a meaningful order from simple to complex mimicking the learning trajectory followed by humans.,,,,AIO:LargeLanguageModel
AIO:FederatedLLM,AIO:ModelSubset,Federated Large Language Model,privacy-preserving|decentralized training,Federated LLM,FALSE,0.34,"A federated LLM is trained in a decentralized manner across multiple devices or silos, without directly sharing private data. This enables collaborative training while preserving data privacy and security.",,A large language model that is trained in a decentralized manner across multiple devices or silos without directly sharing private data enabling collaborative training while preserving data privacy and security.,A large language model that is trained in a decentralized manner across multiple devices or silos without directly sharing private data enabling collaborative training while preserving data privacy and security.,,,,AIO:LargeLanguageModel
AIO:MultilingualLLM,AIO:ModelSubset,Multilingual Large Language Model,cross-lingual transfer,Multilingual LLM,FALSE,0.27,"A multilingual LLM is trained on text from multiple languages, learning shared representations that enable zero-shot or few-shot transfer to new languages.",,A large language model that is trained on text from multiple languages learning shared representations that enable zero-shot or few-shot transfer to new languages.,A large language model that is trained on text from multiple languages learning shared representations that enable zero-shot or few-shot transfer to new languages.,,,,AIO:LargeLanguageModel
AIO:UnsupervisedLLM,AIO:ModelSubset,Unsupervised Large Language Model,self-supervised,Unsupervised LLM,FALSE,0.36,"An unsupervised LLM is trained solely on unlabeled data using self-supervised objectives like masked language modeling, without any supervised fine-tuning.",,A large language model that is trained solely on unlabeled data using self-supervised objectives like masked language modeling without any supervised fine-tuning.,A large language model that is trained solely on unlabeled data using self-supervised objectives like masked language modeling without any supervised fine-tuning.,,,,AIO:LargeLanguageModel
AIO:OrdinalLLM,AIO:ModelSubset,Ordinal Large Language Model,ranking|preference modeling,Ordinal LLM,FALSE,0.33,"An ordinal LLM is trained to model ordinal relationships and rank outputs, rather than model probability distributions over text sequences directly.",,A large language model that is trained to model ordinal relationships and rank outputs rather than model probability distributions over text sequences directly.,A large language model that is trained to model ordinal relationships and rank outputs rather than model probability distributions over text sequences directly.,,,,AIO:LargeLanguageModel
AIO:ContrastiveLearningLLM,AIO:ModelSubset,,Representation learning,Contrastive Learning LLM,FALSE,0.25,"A contrastive learning LLM is trained to pull semantically similar samples closer together and push dissimilar samples apart in the representation space, learning high-quality features useful for downstream tasks.",,A large language model that is trained to pull semantically similar samples closer together and push dissimilar samples apart in the representation space learning high-quality features useful for downstream tasks.,A large language model that is trained to pull semantically similar samples closer together and push dissimilar samples apart in the representation space learning high-quality features useful for downstream tasks.,,,,AIO:LargeLanguageModel
AIO:GenerativeCommonsenseLLM,AIO:ModelSubset,Generative Commonsense Large Language Model|World Model,physical reasoning|causal modeling,Generative Commonsense LLM,FALSE,0.38,"A generative commonsense LLM is trained to understand and model basic physics, causality, and common sense about how the real world works.",,A large language model that is trained to understand and model basic physics causality and common sense about how the real world works.,A large language model that is trained to understand and model basic physics causality and common sense about how the real world works.,https://arxiv.org/abs/2306.12672,,,AIO:LargeLanguageModel
AIO:CompositionalGeneralizationLLM,AIO:ModelSubset,Compositional Generalization Large Language Model,systematic generalization|out-of-distribution generalization,Compositional Generalization LLM,FALSE,0.24,"A compositional generalization LLM is trained to understand and recombine the underlying compositional structures in language, enabling better generalization to novel combinations and out-of-distribution examples.",,A large language model that is trained to understand and recombine the underlying compositional structures in language enabling better generalization to novel combinations and out-of-distribution examples.,A large language model that is trained to understand and recombine the underlying compositional structures in language enabling better generalization to novel combinations and out-of-distribution examples.,,,,AIO:LargeLanguageModel
AIO:EthicalLLM,AIO:ModelSubset,Ethical Large Language Model,value alignment|constituitional AI,Ethical LLM,FALSE,0.38,"An ethical LLM is trained to uphold certain ethical principles, values, or rules in its language generation to increase safety and trustworthiness.",,A large language model that is trained to uphold certain ethical principles values or rules in its language generation to increase safety and trustworthiness.,A large language model that is trained to uphold certain ethical principles values or rules in its language generation to increase safety and trustworthiness.,,,,AIO:LargeLanguageModel
AIO:MultimodalFusionLLM,AIO:ModelSubset,,cross-modal grounding,Multimodal Fusion LLM,FALSE,0.37,"A multimodal fusion LLM learns joint representations across different modalities like text, vision, and audio in an end-to-end fashion for better cross-modal understanding and generation.",,A large language model that learns joint representations across different modalities like text vision and audio in an end-to-end fashion for better cross-modal understanding and generation.,A large language model that learns joint representations across different modalities like text vision and audio in an end-to-end fashion for better cross-modal understanding and generation.,,,,AIO:LargeLanguageModel
AIO:TransferLearningLLM,AIO:ModelSubset,Transfer LLM,transfer learning,Transfer Learning LLM,FALSE,0.28,"A transfer learning LLM leverages knowledge acquired during training on one task to improve performance on different but related tasks, facilitating more efficient learning and adaptation.",,A large language model that leverages knowledge acquired during training on one task to improve performance on different but related tasks facilitating more efficient learning and adaptation.,A large language model that leverages knowledge acquired during training on one task to improve performance on different but related tasks facilitating more efficient learning and adaptation.,,,,AIO:LargeLanguageModel
AIO:CausalLLM,AIO:ModelSubset,Causal Large Language Model,unidirectional|autoregressive,Causal LLM,FALSE,0.30,"A causal LLM only attends to previous tokens in the sequence when generating text, modeling the probability distribution autoregressively from left-to-right or causally.",,A large language model that only attends to previous tokens in the sequence when generating text modeling the probability distribution autoregressively from left-to-right or causally.,A large language model that only attends to previous tokens in the sequence when generating text modeling the probability distribution autoregressively from left-to-right or causally.,,,,AIO:LargeLanguageModel
AIO:CrossDomainLLM,AIO:ModelSubset,Domain-General LLM,domain adaptation|cross-domain transfer,Cross-Domain LLM,FALSE,#N/A,,,"A LLM that performs well across a wide range of domains without significant loss in performance, facilitated by advanced domain adaptation techniques.","A large language model that performs well across a wide range of domains without significant loss in performance, facilitated by advanced domain adaptation techniques.",,,,AIO:LargeLanguageModel
AIO:LanguageInterfaceLLM,AIO:ModelSubset,,Interactive learning,Language Interface LLM,FALSE,0.29,"A language interface LLM supports interactive semantic parsing, enabling users to provide feedback and corrections to dynamically refine and update the language model.",,A large language model that supports interactive semantic parsing enabling users to provide feedback and corrections to dynamically refine and update the language model.,A large language model that supports interactive semantic parsing enabling users to provide feedback and corrections to dynamically refine and update the language model.,,,,AIO:LargeLanguageModel
AIO:DecoderLLM,AIO:ModelSubset,,,Decoder LLM,FALSE,0.62,"A decoder-only architecture consisting of only a decoder, trained to predict the next token in a sequence given the previous tokens. Unlike the encoder-decoder architecture, it does not have an explicit encoder and encodes information implicitly in the hidden state of the decoder, updated at each step of the generation process.","A decoder-only architecture consisting of only a decoder, trained to predict the next token in a sequence given the previous tokens. Unlike the encoder-decoder architecture, it does not have an explicit encoder and encodes information implicitly in the hidden state of the decoder, updated at each step of the generation process.",A large language model that uses a decoder-only architecture consisting of only a decoder trained to predict the next token in a sequence given the previous tokens.,A large language model that uses a decoder-only architecture consisting of only a decoder trained to predict the next token in a sequence given the previous tokens.,https://www.practicalai.io/understanding-transformer-model-architectures/#:~:text=Encoder,,,AIO:LargeLanguageModel
AIO:EncoderLLM,AIO:ModelSubset,,,Encoder LLM,FALSE,0.48,"An encoder-only architecture that encodes the input sequence into a fixed-length representation, which is then used as input to a classifier or regressor for prediction. The model has a pre-trained general-purpose encoder that requires fine-tuning for specific tasks.","An encoder-only architecture that encodes the input sequence into a fixed-length representation, which is then used as input to a classifier or regressor for prediction. The model has a pre-trained general-purpose encoder that requires fine-tuning for specific tasks.",A large language model that uses an encoder-only architecture to encode the input sequence into a fixed-length representation which is then used as input to a classifier or regressor for prediction.,A large language model that uses an encoder-only architecture to encode the input sequence into a fixed-length representation which is then used as input to a classifier or regressor for prediction.,https://www.practicalai.io/understanding-transformer-model-architectures/#:~:text=Encoder,,,AIO:LargeLanguageModel
AIO:SparseLLM,AIO:ModelSubset,Sparse Large Language Model,model compression|parameter efficiency,Sparse LLM,FALSE,0.22,"A sparse LLM uses techniques like pruning or quantization to reduce the number of non-zero parameters in the model, making it more parameter-efficient and easier to deploy on resource-constrained devices.",,A large language model that uses techniques like pruning or quantization to reduce the number of non-zero parameters in the model making it more parameter-efficient and easier to deploy on resource-constrained devices.,A large language model that uses techniques like pruning or quantization to reduce the number of non-zero parameters in the model making it more parameter-efficient and easier to deploy on resource-constrained devices.,,,,AIO:LargeLanguageModel
AIO:RetrievalAugmentedLLM,AIO:ModelSubset,Retrieval-Augmented Large Language Model,knowledge grounding|open-book question answering,Retrieval-Augmented LLM,FALSE,#N/A,,,"A LLM which combines a pre-trained language model with a retrieval system that can access external knowledge sources. This allows the model to condition its generation on relevant retrieved knowledge, improving factual accuracy and knowledge grounding.","A large language model which combines a pre-trained language model with a retrieval system that can access external knowledge sources. This allows the model to condition its generation on relevant retrieved knowledge, improving factual accuracy and knowledge grounding.",,,,AIO:LargeLanguageModel
AIO:NeuroSymbolicLLM,AIO:ModelSubset,Neuro-Symbolic Large Language Model,knowledge reasoning|symbolic grounding,Neuro-Symbolic LLM,FALSE,#N/A,,,"A LLM which combines neural language modeling with symbolic reasoning components, leveraging structured knowledge representations and logical inferences to improve reasoning capabilities.","A large language model which combines neural language modeling with symbolic reasoning components, leveraging structured knowledge representations and logical inferences to improve reasoning capabilities.",,,,AIO:LargeLanguageModel
AIO:SemiSupervisedLLM,AIO:ModelSubset,Semi-Supervised Large Language Model,self-training,Semi-Supervised LLM,FALSE,#N/A,,,A LLM which combines self-supervised pretraining on unlabeled data with supervised fine-tuning on labeled task data.,A large language model which combines self-supervised pretraining on unlabeled data with supervised fine-tuning on labeled task data.,,,,AIO:LargeLanguageModel
AIO:MixtureofExpertsLLM,AIO:ModelSubset,MoE Large Language Model|Mixture-of-Experts Large Language Model,conditional computation|model parallelism,Mixture-of-Experts LLM,FALSE,#N/A,,,"A LLM which dynamically selects and combines outputs from multiple expert submodels, allowing for efficient scaling by conditionally activating only a subset of model components for each input.","A large language model which dynamically selects and combines outputs from multiple expert submodels, allowing for efficient scaling by conditionally activating only a subset of model components for each input.",https://proceedings.mlr.press/v162/du22c.html,,,AIO:LargeLanguageModel
AIO:GenerativeAdversarialNetworkAugmentedLLM,AIO:ModelSubset,GAN-Large Language Model|Generative Adversarial Network-Augmented Large Language Model,text generation|adversarial training,Generative Adversarial Network-Augmented LLM,FALSE,#N/A,,,"A LLM which incorporates a generative adversarial network (GAN) into its training process, using a discriminator network to provide a signal for generating more realistic and coherent text. This adversarial training can improve the quality and diversity of generated text.","A large language model which incorporates a generative adversarial network (GAN) into its training process, using a discriminator network to provide a signal for generating more realistic and coherent text. This adversarial training can improve the quality and diversity of generated text.",,,,AIO:LargeLanguageModel
AIO:KnowledgeGroundedLLM,AIO:ModelSubset,Knowledge-Grounded Large Language Model,factual grounding|knowledge integration,Knowledge-Grounded LLM,FALSE,#N/A,,,"A LLM which incorporates external knowledge sources or knowledge bases into the model architecture, enabling it to generate more factually accurate and knowledge-aware text.","A large language model which incorporates external knowledge sources or knowledge bases into the model architecture, enabling it to generate more factually accurate and knowledge-aware text.",,,,AIO:LargeLanguageModel
AIO:MemoryAugmentedLLM,AIO:ModelSubset,Memory-Augmented Large Language Model,external memory,Memory-Augmented LLM,FALSE,#N/A,,,"A LLM which incorporates external writable and readable memory components, allowing it to store and retrieve information over long contexts.","A large language model which incorporates external writable and readable memory components, allowing it to store and retrieve information over long contexts.",https://arxiv.org/abs/2306.07174,,,AIO:LargeLanguageModel
AIO:PromptbasedFineTuningLLM,AIO:ModelSubset,Prompt-tuned Large Language Model|Prompt-based Fine-Tuning Large Language Model,in-context learning|few-shot learning,Prompt-based Fine-Tuning LLM,FALSE,#N/A,,,"A LLM which is fine-tuned on a small number of examples or prompts, rather than full task datasets. This allows for rapid adaptation to new tasks with limited data, leveraging the model's few-shot learning capabilities.","A large language model which is fine-tuned on a small number of examples or prompts, rather than full task datasets. This allows for rapid adaptation to new tasks with limited data, leveraging the model's few-shot learning capabilities.",,,,AIO:LargeLanguageModel
AIO:InstructionTunedLLM,AIO:ModelSubset,Instruction-Tuned Large Language Model,natural language instructions|constitutional AI,Instruction-Tuned LLM,FALSE,#N/A,,,"A LLM which is fine-tuned to follow natural language instructions accurately and safely, learning to map from instructions to desired model behavior in a more controlled and principled way.","A large language model which is fine-tuned to follow natural language instructions accurately and safely, learning to map from instructions to desired model behavior in a more controlled and principled way.",,,,AIO:LargeLanguageModel
AIO:LowResourceLLM,AIO:ModelSubset,Low-Resource Language Model,resource-efficient|low-resource languages,Low-Resource LLM,FALSE,#N/A,,,"A LLM which is optimized for performance in scenarios with limited data, computational resources, or for languages with sparse datasets.","A large language model which is optimized for performance in scenarios with limited data, computational resources, or for languages with sparse datasets.",,,,AIO:LargeLanguageModel
AIO:DomainAdaptedLLM,AIO:ModelSubset,Domain-Adapted Large Language Model,transfer learning|domain robustness,Domain-Adapted LLM,FALSE,#N/A,,,"A LLM which is pre-trained on a broad corpus and then fine-tuned on domain-specific data to specialize its capabilities for particular domains or applications, like scientific literature or code generation.","A large language model which is pre-trained on a broad corpus and then fine-tuned on domain-specific data to specialize its capabilities for particular domains or applications, like scientific literature or code generation.",,,,AIO:LargeLanguageModel
AIO:MetaLearningLLM,AIO:ModelSubset,Meta-Learning Large Language Model,few-shot adaptation|learning to learn,Meta-Learning LLM,FALSE,#N/A,,,"A LLM which is trained in a way that allows it to quickly adapt to new tasks or datasets through only a few examples or fine-tuning steps, leveraging meta-learned priors about how to efficiently learn.","A large language model which is trained in a way that allows it to quickly adapt to new tasks or datasets through only a few examples or fine-tuning steps, leveraging meta-learned priors about how to efficiently learn.",,,,AIO:LargeLanguageModel
AIO:MultiTaskLLM,AIO:ModelSubset,Multi-Task Large Language Model,transfer learning,Multi-Task LLM,FALSE,#N/A,,,"A LLM which is trained jointly on multiple language tasks simultaneously, learning shared representations that transfer across tasks.","A large language model which is trained jointly on multiple language tasks simultaneously, learning shared representations that transfer across tasks.",,,,AIO:LargeLanguageModel
AIO:SelfSupervisedLLM,AIO:ModelSubset,,Pretext tasks,Self-Supervised LLM,FALSE,#N/A,,,"A LLM which learns rich representations by solving pretext tasks that involve predicting parts of the input from other observed parts of the data, without relying on human-annotated labels.","A large language model which learns rich representations by solving pretext tasks that involve predicting parts of the input from other observed parts of the data, without relying on human-annotated labels.",,,,AIO:LargeLanguageModel
AIO:EnergyBasedLLM,AIO:ModelSubset,Energy-Based Large Language Model,energy scoring|explicit density modeling,Energy-Based LLM,FALSE,#N/A,,,"A LLM which models the explicit probability density over token sequences using an energy function, rather than an autoregressive factorization. This can improve modeling of long-range dependencies and global coherence.","A large language model which models the explicit probability density over token sequences using an energy function, rather than an autoregressive factorization. This can improve modeling of long-range dependencies and global coherence.",,,,AIO:LargeLanguageModel
AIO:ZeroShotLearningLLM,AIO:ModelSubset,Zero-Shot LLM,zero-shot learning,Zero-Shot Learning LLM,FALSE,#N/A,,,"A LLM which performs tasks or understands concepts it has not explicitly been trained on, demonstrating a high degree of generalization and understanding.","A large language model which performs tasks or understands concepts it has not explicitly been trained on, demonstrating a high degree of generalization and understanding.",,,,AIO:LargeLanguageModel
AIO:InputLayer,AIO:LayerSubset,,,Input Layer,FALSE,0.52,"The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network.","The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network.",A layer composed of artificial input neurons that brings the initial data into the system for further processing by subsequent layers.,A layer composed of artificial input neurons that brings the initial data into the system for further processing by subsequent layers.,https://www.techopedia.com/definition/33262/input-layer-neural-networks,,,AIO:Layer
AIO:RecurrentLayer,AIO:LayerSubset,,,Recurrent Layer,FALSE,0.37,"A layer of an RNB, composed of recurrent units and with the number of which is the hidden size of the layer.",,A layer composed of recurrent units with the number equal to the hidden size of the layer.,A layer composed of recurrent units with the number equal to the hidden size of the layer.,https://docs.nvidia.com/deepLearning/performance/dl-performance-recurrent/index.html#recurrent-layer,,,AIO:Layer
AIO:OutputLayer,AIO:LayerSubset,,,Output Layer,FALSE,0.71,"The output layer in an artificial neural network is the last layer of neurons that produces given outputs for the program. Though they are made much like other artificial neurons in the neural network, output layer neurons may be built or observed in a different way, given that they are the last “actor” nodes on the network.","The output layer in an artificial neural network is the last layer of neurons that produces given outputs for the program. Though they are made much like other artificial neurons in the neural network, output layer neurons may be built or observed in a different way, given that they are the last “actor” nodes on the network.",A layer containing the last neurons in the network that produces given outputs for the program.,A layer containing the last neurons in the network that produces given outputs for the program.,https://www.techopedia.com/definition/33263/output-layer-neural-networks,,,AIO:Layer
AIO:HiddenLayer,AIO:LayerSubset,,,Hidden Layer,FALSE,0.69,"A hidden layer is located between the input and output of the algorithm, in which the function applies weights to the inputs and directs them through an activation function as the output. In short, the hidden layers perform nonlinear transformations of the inputs entered into the network. Hidden layers vary depending on the function of the neural network, and similarly, the layers may vary depending on their associated weights.","A hidden layer is located between the input and output of the algorithm, in which the function applies weights to the inputs and directs them through an activation function as the output. In short, the hidden layers perform nonlinear transformations of the inputs entered into the network. Hidden layers vary depending on the function of the neural network, and similarly, the layers may vary depending on their associated weights.",A layer located between the input and output that performs nonlinear transformations of the inputs entered into the network.,A layer located between the input and output that performs nonlinear transformations of the inputs entered into the network.,https://deepai.org/machine-Learning-glossary-and-terms/hidden-layer-machine-Learning,,,AIO:Layer
AIO:MemoryCellLayer,AIO:LayerSubset,,,Memory Cell Layer,FALSE,#N/A,,,"A layer of cells, each with an internal state or weights.","A layer of cells, each with an internal state or weights.",https://doi.org/10.1162/neco.1997.9.8.1735,,,AIO:Layer
AIO:WeightedLayer,AIO:LayerSubset,,,Weighted Layer,FALSE,#N/A,,,A layer of values to be applied to other cells or neurons in a network.,A layer of values to be applied to other cells or neurons in a network.,,,,AIO:Layer
AIO:AbstractRNNCell,AIO:LayerSubset,,,AbstractRNNCell,FALSE,0.36,Abstract object representing an RNN cell. This is the base class for implementing RNN cells with custom behavior.,,An abstract layer object representing an RNN cell that is the base class for implementing RNN cells with custom behavior.,A layer representing an RNN cell that is the base class for implementing RNN cells with custom behavior.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/AbstractRNNCell,,,AIO:Layer
AIO:AdditionLayer,AIO:LayerSubset,,,Addition Layer,FALSE,#N/A,,,A layer that adds inputs from one or more other layers to cells or neurons of a target layer.,A layer that adds inputs from one or more other layers to cells or neurons of a target layer.,,,,AIO:Layer
AIO:StackedRNNCellsLayer,AIO:LayerSubset,,,StackedRNNCells Layer,FALSE,0.52,Wrapper allowing a stack of RNN cells to behave as a single cell. Used to implement efficient stacked RNNs.,Wrapper allowing a stack of RNN cells to behave as a single cell. Used to implement efficient stacked RNNs.,A layer that allows a stack of RNN cells to behave as a single cell.,A layer that allows a stack of RNN cells to behave as a single cell.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/StackedRNNCells,,,AIO:Layer
AIO:ActivationLayer,AIO:LayerSubset,,,Activation Layer,FALSE,0.50,Applies an activation function to an output.,Applies an activation function to an output.,A layer that applies an activation function to an output.,A layer that applies an activation function to an output.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/Activation,,,AIO:Layer
AIO:RegularizationLayer,AIO:LayerSubset,,,Regularization Layer,FALSE,0.52,Regularizers allow you to apply penalties on layer parameters or layer activity during optimization. These penalties are summed into the loss function that the network optimizes. Regularization penalties are applied on a per-layer basis.,Regularizers allow you to apply penalties on layer parameters or layer activity during optimization. These penalties are summed into the loss function that the network optimizes. Regularization penalties are applied on a per-layer basis.,A layer that applies penalties on layer parameters or layer activity during optimization summed into the loss function that the network optimizes.,A layer that applies penalties on layer parameters or layer activity during optimization summed into the loss function that the network optimizes.,https://keras.io/api/layers/regularizers/,,,AIO:Layer
AIO:WrapperLayer,AIO:LayerSubset,,,Wrapper Layer,FALSE,0.83,"Abstract wrapper base class. Wrappers take another layer and augment it in various ways. Do not use this class as a layer, it is only an abstract base class. Two usable wrappers are the TimeDistributed and Bidirectional wrappers.","Abstract wrapper base class. Wrappers take another layer and augment it in various ways. Do not use this class as a layer, it is only an abstract base class. Two usable wrappers are the TimeDistributed and Bidirectional wrappers.",An abstract base class for wrappers that augment the functionality of another layer.,A layer that augment the functionality of another layer.,https://www.tensorflow.org/api_docs/python/tf/keras/layers/Wrapper,,,AIO:Layer
